packet_index,timestamp,label
0,1781099979.619343,normal
1,1781099979.620837,normal
2,1781099979.623238,normal
3,1781099979.624938,normal
4,1781099979.626306,normal
5,1781099979.628175,normal
6,1781099979.629928,normal
7,1781099979.631567,normal
8,1781099979.633965,normal
9,1781099979.635346,normal
10,1781099979.637008,normal
11,1781099979.639128,normal
12,1781099979.640893,normal
13,1781099979.642872,normal
14,1781099979.644907,normal
15,1781099979.646701,normal
16,1781099979.648047,normal
17,1781099979.649947,normal
18,1781099979.652256,normal
19,1781099979.653897,normal
20,1781099979.655912,normal
21,1781099979.658513,normal
22,1781099979.660311,normal
23,1781099979.661968,normal
24,1781099979.663730,normal
25,1781099979.665365,normal
26,1781099979.666977,normal
27,1781099979.667986,normal
28,1781099979.670372,normal
29,1781099979.672759,normal
30,1781099979.675145,normal
31,1781099979.677047,normal
32,1781099979.678549,normal
33,1781099979.679449,normal
34,1781099979.681662,normal
35,1781099979.683853,normal
36,1781099979.685123,normal
37,1781099979.686212,normal
38,1781099979.687796,normal
39,1781099979.689613,normal
40,1781099979.692088,normal
41,1781099979.693844,normal
42,1781099979.696254,normal
43,1781099979.697513,normal
44,1781099979.700205,normal
45,1781099979.702351,normal
46,1781099979.704639,normal
47,1781099979.706831,normal
48,1781099979.709217,normal
49,1781099979.711462,normal
50,1781099979.713020,normal
51,1781099979.715157,normal
52,1781099979.716629,normal
53,1781099979.718350,normal
54,1781099979.720288,normal
55,1781099979.721632,normal
56,1781099979.723191,normal
57,1781099979.724780,normal
58,1781099979.726014,normal
59,1781099979.728122,normal
60,1781099979.730490,http_flood
61,1781099979.733324,normal
62,1781099979.734900,normal
63,1781099979.737043,normal
64,1781099979.739367,normal
65,1781099979.741436,normal
66,1781099979.742918,normal
67,1781099979.744977,normal
68,1781099979.747581,normal
69,1781099979.749423,normal
70,1781099979.750866,normal
71,1781099979.753361,normal
72,1781099979.754689,normal
73,1781099979.756454,normal
74,1781099979.757635,normal
75,1781099979.760040,normal
76,1781099979.761715,normal
77,1781099979.763031,normal
78,1781099979.764998,normal
79,1781099979.766834,normal
80,1781099979.768995,normal
81,1781099979.770599,normal
82,1781099979.772211,normal
83,1781099979.774283,normal
84,1781099979.775780,normal
85,1781099979.777294,normal
86,1781099979.778925,normal
87,1781099979.781063,normal
88,1781099979.782924,normal
89,1781099979.785645,normal
