packet_index,timestamp,label
0,1781099976.471479,normal
1,1781099976.473382,normal
2,1781099976.475459,normal
3,1781099976.477152,normal
4,1781099976.478832,normal
5,1781099976.480417,normal
6,1781099976.482234,normal
7,1781099976.484073,udp_reflection
8,1781099976.486031,normal
9,1781099976.488425,normal
10,1781099976.491436,normal
11,1781099976.493072,normal
12,1781099976.495109,normal
13,1781099976.496398,normal
14,1781099976.497674,udp_reflection
15,1781099976.499315,normal
16,1781099976.500779,normal
17,1781099976.504210,udp_reflection
18,1781099976.506512,normal
19,1781099976.508476,normal
20,1781099976.510518,normal
21,1781099976.512015,normal
22,1781099976.513608,normal
23,1781099976.515838,normal
24,1781099976.517326,udp_reflection
25,1781099976.519357,normal
26,1781099976.521423,normal
27,1781099976.522843,normal
28,1781099976.524896,normal
29,1781099976.527440,normal
30,1781099976.529028,normal
31,1781099976.530665,normal
32,1781099976.532139,normal
33,1781099976.534205,normal
34,1781099976.535598,normal
35,1781099976.537411,normal
36,1781099976.539200,normal
37,1781099976.541706,normal
38,1781099976.544500,normal
39,1781099976.546115,normal
40,1781099976.547694,normal
41,1781099976.549413,normal
42,1781099976.551082,normal
43,1781099976.552172,normal
44,1781099976.554298,normal
45,1781099976.555886,normal
46,1781099976.558186,normal
47,1781099976.560475,normal
48,1781099976.562625,normal
49,1781099976.564105,normal
50,1781099976.565775,normal
51,1781099976.568198,normal
52,1781099976.569557,normal
53,1781099976.570986,udp_reflection
54,1781099976.572586,normal
55,1781099976.574093,normal
56,1781099976.576123,normal
57,1781099976.577473,normal
58,1781099976.579206,normal
59,1781099976.580704,normal
60,1781099976.582261,normal
61,1781099976.583968,normal
62,1781099976.585378,normal
63,1781099976.587384,normal
64,1781099976.588672,normal
65,1781099976.590523,udp_reflection
66,1781099976.592279,normal
67,1781099976.594045,normal
68,1781099976.595603,udp_reflection
69,1781099976.597419,normal
70,1781099976.599035,udp_reflection
71,1781099976.600523,normal
72,1781099976.602979,normal
73,1781099976.604322,normal
74,1781099976.606407,normal
75,1781099976.607658,normal
76,1781099976.609372,normal
77,1781099976.611326,normal
78,1781099976.612573,normal
79,1781099976.613949,normal
80,1781099976.616373,udp_reflection
81,1781099976.617537,normal
82,1781099976.619351,normal
83,1781099976.620929,udp_reflection
84,1781099976.622830,normal
85,1781099976.624909,normal
86,1781099976.626576,normal
87,1781099976.629053,normal
88,1781099976.630969,normal
89,1781099976.633211,normal
90,1781099976.634991,normal
91,1781099976.637243,normal
92,1781099976.638834,udp_reflection
93,1781099976.640905,normal
94,1781099976.642980,normal
95,1781099976.645308,normal
96,1781099976.646888,udp_reflection
97,1781099976.648268,normal
98,1781099976.649205,normal
99,1781099976.651382,normal
100,1781099976.652598,normal
101,1781099976.654376,normal
102,1781099976.656019,normal
103,1781099976.657184,normal
104,1781099976.658269,normal
105,1781099976.660366,normal
106,1781099976.662338,normal
107,1781099976.663884,normal
108,1781099976.665438,normal
109,1781099976.667316,normal
110,1781099976.668576,normal
111,1781099976.670393,normal
112,1781099976.672637,normal
113,1781099976.674081,normal
114,1781099976.675310,udp_reflection
115,1781099976.677062,normal
116,1781099976.678806,normal
117,1781099976.680637,normal
118,1781099976.682587,normal
119,1781099976.683747,normal
120,1781099976.686000,normal
121,1781099976.687738,normal
122,1781099976.689685,normal
123,1781099976.691004,normal
124,1781099976.692782,normal
125,1781099976.694505,normal
126,1781099976.697025,normal
127,1781099976.698560,normal
128,1781099976.699939,udp_reflection
129,1781099976.702297,normal
130,1781099976.704010,normal
131,1781099976.705251,normal
132,1781099976.706542,normal
133,1781099976.708514,udp_reflection
134,1781099976.709841,normal
135,1781099976.711397,normal
136,1781099976.713053,udp_reflection
137,1781099976.714620,normal
138,1781099976.716478,normal
139,1781099976.718464,normal
140,1781099976.719660,normal
141,1781099976.722064,udp_reflection
142,1781099976.724832,normal
143,1781099976.726787,normal
144,1781099976.727879,normal
145,1781099976.730514,udp_reflection
146,1781099976.732171,normal
147,1781099976.734407,normal
148,1781099976.736026,normal
149,1781099976.737399,normal
150,1781099976.738693,normal
151,1781099976.740298,normal
152,1781099976.742718,normal
153,1781099976.743931,normal
154,1781099976.746238,normal
155,1781099976.747781,udp_reflection
156,1781099976.749328,normal
157,1781099976.750378,udp_reflection
158,1781099976.752520,normal
159,1781099976.754221,normal
