window_id,source_pcap,label,binary_label,anomaly_score,threshold,predicted_state
0,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.50483067,7.27908962,anomaly
1,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,64.34360179,7.27908962,anomaly
2,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.90275956,7.27908962,anomaly
3,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,56.68064991,7.27908962,anomaly
4,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,59.09056146,7.27908962,anomaly
5,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,56.99655558,7.27908962,anomaly
6,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,72.87904959,7.27908962,anomaly
7,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,54.26330483,7.27908962,anomaly
8,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.05611205,7.27908962,anomaly
9,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,63.88990582,7.27908962,anomaly
10,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.96521074,7.27908962,anomaly
11,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,59.65724132,7.27908962,anomaly
12,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,57.13602427,7.27908962,anomaly
13,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,61.63962464,7.27908962,anomaly
14,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.30020915,7.27908962,anomaly
15,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,72.97485703,7.27908962,anomaly
16,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,66.85633288,7.27908962,anomaly
17,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,61.86554259,7.27908962,anomaly
18,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,64.17577499,7.27908962,anomaly
19,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,76.92869336,7.27908962,anomaly
20,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,57.36844871,7.27908962,anomaly
21,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,66.38847316,7.27908962,anomaly
22,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,76.52242257,7.27908962,anomaly
23,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,66.36044211,7.27908962,anomaly
24,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,63.17662994,7.27908962,anomaly
25,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,59.15885897,7.27908962,anomaly
26,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,66.45450993,7.27908962,anomaly
27,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,64.49242234,7.27908962,anomaly
28,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,61.76424057,7.27908962,anomaly
29,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,63.47681475,7.27908962,anomaly
30,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,58.36862321,7.27908962,anomaly
31,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,64.10933985,7.27908962,anomaly
32,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,58.58755441,7.27908962,anomaly
33,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,69.3127329,7.27908962,anomaly
34,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.07982594,7.27908962,anomaly
35,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.09627795,7.27908962,anomaly
36,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,61.73501596,7.27908962,anomaly
37,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.9755665,7.27908962,anomaly
38,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,59.72997891,7.27908962,anomaly
39,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,70.49257541,7.27908962,anomaly
40,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,63.38258157,7.27908962,anomaly
41,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.22881707,7.27908962,anomaly
42,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.93313926,7.27908962,anomaly
43,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,68.94024067,7.27908962,anomaly
44,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,66.75216239,7.27908962,anomaly
45,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,59.4094455,7.27908962,anomaly
46,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,56.65602465,7.27908962,anomaly
47,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,53.60973565,7.27908962,anomaly
48,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.0532215,7.27908962,anomaly
49,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,56.4033548,7.27908962,anomaly
50,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,68.20322407,7.27908962,anomaly
51,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,58.69471115,7.27908962,anomaly
52,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,57.39093143,7.27908962,anomaly
53,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.10157689,7.27908962,anomaly
54,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,71.01900956,7.27908962,anomaly
55,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.58735101,7.27908962,anomaly
56,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.93954976,7.27908962,anomaly
57,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,58.05631146,7.27908962,anomaly
58,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,63.99911116,7.27908962,anomaly
59,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.03942896,7.27908962,anomaly
60,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,73.38033497,7.27908962,anomaly
61,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,62.7849004,7.27908962,anomaly
62,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,65.81978897,7.27908962,anomaly
63,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,54.99277597,7.27908962,anomaly
64,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,64.33793471,7.27908962,anomaly
65,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,70.14680405,7.27908962,anomaly
66,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,68.87946621,7.27908962,anomaly
67,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,61.08646461,7.27908962,anomaly
68,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,61.59473879,7.27908962,anomaly
69,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,60.37373627,7.27908962,anomaly
70,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,62.14429737,7.27908962,anomaly
71,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,56.55461796,7.27908962,anomaly
72,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,66.20901819,7.27908962,anomaly
73,scenario_http_flood_noisy_seed3611.pcap,http_flood,abnormal,53.85612816,7.27908962,anomaly
