window_id,source_pcap,packet_count,pps,byte_count,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,http_ratio,syn_ratio,ack_ratio,syn_ack_ratio,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,src_ip_entropy,dst_ip_entropy,src_port_entropy,dst_port_entropy,mean_interarrival_ms,std_interarrival_ms,interarrival_cv,flow_count,flow_entropy,small_packet_ratio,large_packet_ratio,label,binary_label,normal_ratio,http_flood_ratio,syn_flood_ratio,udp_reflection_ratio,attack_ratio,dominant_attack,severity
0,demo_http_flood.pcap#http_flood,268,5360.0,20406,76.1418,25.0998,1.0,0.0,1.0,0.641791,0.679104,0.945055,3,3,87,87,1.221477,1.022497,5.259344,2.967512,0.169176,0.781954,4.622126,172,7.321504,0.962687,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
1,demo_http_flood.pcap#http_flood,25,500.0,3025,121,62.6865,1.0,0.0,1.0,0.4,0.8,0.5,3,2,11,6,1.370951,0.721928,3.228493,1.186314,1.716286,3.078127,1.793482,15,3.692879,0.6,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
2,demo_http_flood.pcap#http_flood,25,500.0,3025,121,62.6865,1.0,0.0,1.0,0.4,0.8,0.5,3,2,11,6,1.370951,0.721928,3.228493,1.186314,1.75642,3.379929,1.924329,15,3.692879,0.6,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
3,demo_http_flood.pcap#http_flood,25,500.0,3025,121,62.6865,1.0,0.0,1.0,0.4,0.8,0.5,3,2,11,6,1.370951,0.721928,3.228493,1.186314,1.777291,3.284652,1.848123,15,3.692879,0.6,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
4,demo_http_flood.pcap#http_flood,39,780.0,5460,140,65.874,1.0,0.0,1.0,0.307692,0.846154,0.363636,3,2,22,7,1.334679,0.619382,4.156195,1.017069,1.288395,1.991772,1.545933,27,4.553881,0.461538,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
5,demo_http_flood.pcap#http_flood,36,720.0,5199,144.4167,64.362,1.0,0.0,1.0,0.277778,0.861111,0.322581,3,2,22,6,1.362492,0.581321,4.187034,0.903812,1.426343,2.215832,1.553506,26,4.509524,0.416667,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
6,demo_http_flood.pcap#http_flood,30,600.0,4328,144.2667,62.2827,1.0,0.0,1.0,0.266667,0.866667,0.307692,3,2,19,5,1.399581,0.56651,4.006239,0.833176,1.55883,2.571063,1.649354,22,4.272906,0.4,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
7,demo_http_flood.pcap#http_flood,35,700.0,4980,142.2857,64.0105,1.0,0.0,1.0,0.285714,0.857143,0.333333,3,2,21,6,1.378783,0.591673,4.118309,0.923377,1.258584,2.1461,1.705171,25,4.450013,0.428571,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
8,demo_http_flood.pcap#http_flood,46,920.0,7201,156.5435,62.3426,1.0,0.0,1.0,0.217391,0.891304,0.243902,3,2,32,6,1.321506,0.495969,4.754343,0.748353,1.070537,1.972691,1.842713,36,5.006726,0.326087,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
9,demo_http_flood.pcap#http_flood,44,880.0,6716,152.6364,61.5423,1.0,0.0,1.0,0.227273,0.886364,0.25641,3,2,30,6,1.362793,0.510788,4.655248,0.774643,1.050766,1.959048,1.8644,34,4.919103,0.340909,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
10,demo_http_flood.pcap#http_flood,47,940.0,7326,155.8723,61.0788,1.0,0.0,1.0,0.212766,0.893617,0.238095,3,2,33,6,1.34563,0.488909,4.801736,0.735922,1.04828,2.09805,2.001422,37,5.04875,0.319149,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
11,demo_http_flood.pcap#http_flood,39,780.0,6111,156.6923,60.2036,1.0,0.0,1.0,0.205128,0.897436,0.228571,3,2,28,5,1.348437,0.477071,4.592593,0.6822,1.214893,2.104801,1.732498,31,4.797721,0.307692,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
12,demo_http_flood.pcap#http_flood,25,500.0,4770,190.8,23.0252,1.0,0.0,1.0,0.0,1.0,0.0,2,1,25,1,0.970951,-0.0,4.643856,-0.0,1.75342,2.488348,1.41914,25,4.643856,0.0,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
13,demo_http_flood.pcap#http_flood,25,500.0,4770,190.8,23.0252,1.0,0.0,1.0,0.0,1.0,0.0,2,1,25,1,0.970951,-0.0,4.643856,-0.0,1.999199,2.799699,1.40041,25,4.643856,0.0,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
14,demo_http_flood.pcap#http_flood,25,500.0,4770,190.8,23.0252,1.0,0.0,1.0,0.0,1.0,0.0,2,1,25,1,0.970951,-0.0,4.643856,-0.0,1.87995,2.667492,1.418916,25,4.643856,0.0,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
15,demo_http_flood.pcap#http_flood,25,500.0,4723,188.92,22.56,1.0,0.0,1.0,0.0,1.0,0.0,2,1,25,1,0.942683,-0.0,4.643856,-0.0,2.039452,2.784888,1.365508,25,4.643856,0.0,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
16,demo_http_flood.pcap#http_flood,25,500.0,4817,192.68,23.3302,1.0,0.0,1.0,0.0,1.0,0.0,2,1,25,1,0.989588,-0.0,4.643856,-0.0,1.944333,3.221533,1.656883,25,4.643856,0.0,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
17,demo_http_flood.pcap#http_flood,27,540.0,5161,191.1481,23.0935,1.0,0.0,1.0,0.0,1.0,0.0,2,1,27,1,0.975119,-0.0,4.754888,-0.0,1.848037,3.198625,1.730823,27,4.754888,0.0,0.0,http_flood,abnormal,0.0,1.0,0.0,0.0,1.0,http_flood,high
