packet_index,label,src_ip,dst_ip,protocol
0,syn_flood,192.168.46.53,10.0.0.50,TCP
1,syn_flood,10.45.173.90,10.0.0.50,TCP
2,syn_flood,172.26.78.148,10.0.0.50,TCP
3,syn_flood,192.168.116.157,10.0.0.50,TCP
4,syn_flood,192.168.10.42,10.0.0.50,TCP
5,syn_flood,192.168.227.29,10.0.0.50,TCP
6,syn_flood,172.25.218.72,10.0.0.50,TCP
7,syn_flood,172.26.139.7,10.0.0.50,TCP
8,syn_flood,172.25.137.216,10.0.0.50,TCP
9,syn_flood,10.246.151.53,10.0.0.50,TCP
10,syn_flood,10.40.88.73,10.0.0.50,TCP
11,syn_flood,10.130.127.17,10.0.0.50,TCP
12,syn_flood,10.213.112.203,10.0.0.50,TCP
13,syn_flood,192.168.54.92,10.0.0.50,TCP
14,syn_flood,192.168.235.10,10.0.0.50,TCP
15,syn_flood,192.168.116.169,10.0.0.50,TCP
16,syn_flood,192.168.143.34,10.0.0.50,TCP
17,syn_flood,192.168.128.140,10.0.0.50,TCP
18,syn_flood,10.48.132.53,10.0.0.50,TCP
19,syn_flood,172.29.153.76,10.0.0.50,TCP
20,syn_flood,172.29.73.124,10.0.0.50,TCP
21,syn_flood,192.168.55.150,10.0.0.50,TCP
22,syn_flood,10.71.82.233,10.0.0.50,TCP
23,syn_flood,192.168.63.56,10.0.0.50,TCP
24,syn_flood,192.168.96.29,10.0.0.50,TCP
25,syn_flood,10.234.138.89,10.0.0.50,TCP
26,syn_flood,192.168.76.75,10.0.0.50,TCP
27,syn_flood,192.168.171.134,10.0.0.50,TCP
28,syn_flood,192.168.5.47,10.0.0.50,TCP
29,syn_flood,192.168.103.80,10.0.0.50,TCP
30,syn_flood,192.168.72.4,10.0.0.50,TCP
31,syn_flood,10.146.7.224,10.0.0.50,TCP
32,syn_flood,172.16.99.63,10.0.0.50,TCP
33,syn_flood,172.27.7.161,10.0.0.50,TCP
34,syn_flood,192.168.184.68,10.0.0.50,TCP
35,syn_flood,10.138.141.211,10.0.0.50,TCP
36,syn_flood,10.43.48.138,10.0.0.50,TCP
37,syn_flood,172.23.115.17,10.0.0.50,TCP
38,syn_flood,172.18.3.112,10.0.0.50,TCP
39,syn_flood,192.168.40.60,10.0.0.50,TCP
40,syn_flood,10.0.81.147,10.0.0.50,TCP
41,syn_flood,192.168.140.98,10.0.0.50,TCP
42,syn_flood,10.69.198.61,10.0.0.50,TCP
43,syn_flood,192.168.202.119,10.0.0.50,TCP
44,syn_flood,192.168.92.68,10.0.0.50,TCP
45,syn_flood,192.168.41.56,10.0.0.50,TCP
46,syn_flood,172.24.44.13,10.0.0.50,TCP
47,syn_flood,192.168.12.95,10.0.0.50,TCP
48,http_flood,10.0.0.3,10.0.0.50,TCP
49,http_flood,10.0.0.50,10.0.0.3,TCP
50,http_flood,10.0.0.3,10.0.0.50,TCP
51,http_flood,10.0.0.3,10.0.0.50,TCP
52,syn_flood,192.168.213.85,10.0.0.50,TCP
53,http_flood,10.0.0.1,10.0.0.50,TCP
54,http_flood,10.0.0.50,10.0.0.1,TCP
55,http_flood,10.0.0.1,10.0.0.50,TCP
56,http_flood,10.0.0.1,10.0.0.50,TCP
57,http_flood,10.0.0.50,10.0.0.1,TCP
58,http_flood,10.0.0.1,10.0.0.50,TCP
59,http_flood,10.0.0.50,10.0.0.1,TCP
60,http_flood,10.0.0.50,10.0.0.1,TCP
61,http_flood,10.0.0.1,10.0.0.50,TCP
62,http_flood,10.0.0.1,10.0.0.50,TCP
63,http_flood,10.0.0.1,10.0.0.50,TCP
64,http_flood,10.0.0.1,10.0.0.50,TCP
65,http_flood,10.0.0.1,10.0.0.50,TCP
66,http_flood,10.0.0.50,10.0.0.1,TCP
67,http_flood,10.0.0.1,10.0.0.50,TCP
68,http_flood,10.0.0.1,10.0.0.50,TCP
69,http_flood,10.0.0.50,10.0.0.1,TCP
70,http_flood,10.0.0.1,10.0.0.50,TCP
71,http_flood,10.0.0.1,10.0.0.50,TCP
72,http_flood,10.0.0.50,10.0.0.1,TCP
73,http_flood,10.0.0.1,10.0.0.50,TCP
