window_id,source_pcap,packet_count,pps,byte_count,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,http_ratio,syn_ratio,ack_ratio,syn_ack_ratio,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,src_ip_entropy,dst_ip_entropy,src_port_entropy,dst_port_entropy,mean_interarrival_ms,std_interarrival_ms,interarrival_cv,flow_count,flow_entropy,small_packet_ratio,large_packet_ratio,label,binary_label,normal_ratio,http_flood_ratio,syn_flood_ratio,udp_reflection_ratio,attack_ratio,dominant_attack,severity
0,scenario_http_flood_noisy_seed3611.pcap,28,560.0,2359,84.25,59.8788,1.0,0.0,1.0,0.214286,0.892857,0.24,6,6,6,6,2.046535,2.046535,2.046535,2.046535,1.815187,0.360603,0.198659,10,3.093069,0.642857,0.0,http_flood,abnormal,0.857143,0.142857,0.0,0.0,0.142857,http_flood,low
1,scenario_http_flood_noisy_seed3611.pcap,30,600.0,2356,78.5333,55.3207,1.0,0.0,1.0,0.266667,0.866667,0.307692,5,5,7,7,1.735801,1.735801,2.153445,2.153445,1.659961,0.420369,0.253241,12,3.306891,0.666667,0.0,http_flood,abnormal,0.866667,0.133333,0.0,0.0,0.133333,http_flood,low
2,scenario_http_flood_noisy_seed3611.pcap,28,560.0,2368,84.5714,61.5853,1.0,0.0,1.0,0.214286,0.892857,0.24,6,6,7,7,2.033516,2.033516,2.162431,2.162431,1.792519,0.425701,0.237487,12,3.324863,0.642857,0.0,http_flood,abnormal,0.857143,0.142857,0.0,0.0,0.142857,http_flood,low
3,scenario_http_flood_noisy_seed3611.pcap,31,620.0,3652,117.8065,163.3248,1.0,0.0,1.0,0.193548,0.903226,0.214286,7,6,7,6,2.240869,2.066784,2.240869,2.066784,1.618934,0.291163,0.179849,11,3.308404,0.645161,0.032258,normal,normal,0.903226,0.096774,0.0,0.0,0.096774,none,none
4,scenario_http_flood_noisy_seed3611.pcap,33,660.0,2507,75.9697,55.4401,1.0,0.0,1.0,0.242424,0.878788,0.275862,8,8,8,8,2.317121,2.211459,2.317121,2.211459,1.548693,0.367593,0.237357,14,3.529243,0.69697,0.0,http_flood,abnormal,0.878788,0.121212,0.0,0.0,0.121212,http_flood,low
5,scenario_http_flood_noisy_seed3611.pcap,30,600.0,3414,113.8,164.3641,1.0,0.0,1.0,0.2,0.9,0.222222,7,8,7,8,2.194949,2.261616,2.194949,2.261616,1.703928,0.545207,0.319971,13,3.456565,0.6,0.033333,http_flood,abnormal,0.833333,0.166667,0.0,0.0,0.166667,http_flood,low
6,scenario_http_flood_noisy_seed3611.pcap,33,660.0,2504,75.8788,59.3897,1.0,0.0,1.0,0.242424,0.878788,0.275862,6,6,7,7,2.067371,2.135303,2.150853,2.23364,1.540691,0.345413,0.224194,12,3.385155,0.727273,0.0,normal,normal,0.939394,0.060606,0.0,0.0,0.060606,none,none
7,scenario_http_flood_noisy_seed3611.pcap,32,640.0,3771,117.8438,144.8342,1.0,0.0,1.0,0.1875,0.90625,0.206897,6,6,7,7,2.01532,1.987301,2.1875,2.20282,1.572901,0.34645,0.220262,12,3.39032,0.625,0.0625,http_flood,abnormal,0.875,0.125,0.0,0.0,0.125,http_flood,low
8,scenario_http_flood_noisy_seed3611.pcap,30,600.0,2992,99.7333,162.2344,1.0,0.0,1.0,0.266667,0.866667,0.307692,6,6,6,6,2.171629,1.973557,2.171629,1.973557,1.696069,0.449235,0.264869,10,3.148394,0.733333,0.033333,normal,normal,0.966667,0.033333,0.0,0.0,0.033333,none,none
9,scenario_http_flood_noisy_seed3611.pcap,32,640.0,2751,85.9688,61.7421,1.0,0.0,1.0,0.1875,0.90625,0.206897,7,8,7,8,2.078535,2.371465,2.078535,2.371465,1.602865,0.349651,0.218141,13,3.45282,0.625,0.0,http_flood,abnormal,0.84375,0.15625,0.0,0.0,0.15625,http_flood,low
10,scenario_http_flood_noisy_seed3611.pcap,34,680.0,3306,97.2353,99.8378,1.0,0.0,1.0,0.235294,0.882353,0.266667,7,7,8,8,2.124084,1.938679,2.359378,2.173973,1.50958,0.349537,0.231546,14,3.535849,0.647059,0.029412,http_flood,abnormal,0.852941,0.147059,0.0,0.0,0.147059,http_flood,low
11,scenario_http_flood_noisy_seed3611.pcap,33,660.0,3458,104.7879,149.3265,1.0,0.0,1.0,0.212121,0.878788,0.241379,7,6,8,7,1.969034,1.991216,2.211459,2.23364,1.558281,0.417909,0.268186,13,3.445761,0.666667,0.030303,http_flood,abnormal,0.878788,0.121212,0.0,0.0,0.121212,http_flood,low
